"","Our_label","AIBS_subclass_label","AIBS_subclass_color","AIBS_class_label","AIBS_class_color"
"1","Inh_VIP","VIP","#996517","GABAergic","#0066FF"
"2","Inh_LAMP5","LAMP5","#FF7373","GABAergic","#0066FF"
"3","Exc_IT","IT","#52FF26","Glutamatergic","#AFCC3D"
"4","Inh_PAX6","PAX6","#CC683D","GABAergic","#0066FF"
"5","Oligodendrocyte","Oligodendrocyte","#311799","Non-neuronal","#17994B"
"6","Astrocyte","Astrocyte","#73ABFF","Non-neuronal","#17994B"
"7","Exc_L5/6 IT Car3","L5/6 IT Car3","#00CC14","Glutamatergic","#AFCC3D"
"8","Exc_L5/6 NP","L5/6 NP","#006B99","Glutamatergic","#AFCC3D"
"9","Inh_SST","SST","#FFE500","GABAergic","#0066FF"
"10","Exc_L6 CT","L6 CT","#459967","Glutamatergic","#AFCC3D"
"11","OPC","OPC","#3D4BCC","Non-neuronal","#17994B"
"12","Inh_PVALB","PVALB","#B6CC5C","GABAergic","#0066FF"
"13","Exc_L6b","L6b","#4DFFC9","Glutamatergic","#AFCC3D"
"14","Microglia","Microglia","#FF26A8","Non-neuronal","#17994B"
"15","Exc_L5 ET","L5 ET","#1FCCCC","Glutamatergic","#AFCC3D"
"16","Pericyte","Pericyte","#992E8E","Non-neuronal","#17994B"
"17","Endothelial","Endothelial","#7F00FF","Non-neuronal","#17994B"
"18","Exc_L4 IT","L4 IT","#63992E","Glutamatergic","#AFCC3D"
"19","VLMC","VLMC","#B65CCC","Non-neuronal","#17994B"
